z,n_features,accuracy,precision_weighted,recall_weighted,f1_weighted
1,12,0.3695,0.3643,0.3695,0.3663
3,12,0.6326,0.632,0.6326,0.63
5,12,0.7758,0.7765,0.7758,0.7748
10,12,0.9108,0.9112,0.9108,0.9107
