run,node_name,location,modem_name,mcc,country,iso_code,rat,tot_size_throughput_min,tot_size_throughput_max,tot_size_throughput_std,tot_size_throughput_mean,avg_speed_throughput_min,avg_speed_throughput_max,avg_speed_throughput_std,avg_speed_throughput_mean,tot_size_current_min,tot_size_current_max,tot_size_current_std,tot_size_current_mean,avg_speed_current_min,avg_speed_current_max,avg_speed_current_std,avg_speed_current_mean,diff_pw_idle_min,diff_pw_idle_max,diff_pw_idle_std,diff_pw_idle_mean,current_pw_idle_min,current_pw_idle_max,current_pw_idle_std,current_pw_idle_mean,voltage_pw_idle_min,voltage_pw_idle_max,voltage_pw_idle_std,voltage_pw_idle_mean
1,1,4,1,219,0,0.0,0,102586.0,102586.0,0.0,102586.0,88.528,88.528,0.0,88.528,102586.0,102586.0,0.0,102586.0,88.528,88.528,0.0,88.528,0.0050000000001091,0.0050320190002821,1.3975755856334744e-06,0.00500036244100597,26.0,80.0,5.456489097695817,33.25,5045.0,5070.0,2.3693570547414575,5059.931
1,1,4,1,219,0,0.0,0,102586.0,102586.0,0.0,102586.0,88.528,88.528,0.0,88.528,102586.0,102586.0,0.0,102586.0,88.528,88.528,0.0,88.528,0.0050000000001091,0.0050606670001798,2.4312761704769347e-06,0.00500041984899367,26.0,79.0,5.2139482406575794,33.673,5046.0,5067.0,2.477745592917839,5059.946
1,1,4,1,219,0,0.0,0,102586.0,102586.0,0.0,102586.0,88.528,88.528,0.0,88.528,102586.0,102586.0,0.0,102586.0,88.528,88.528,0.0,88.528,0.0050000009996438,0.0050566109998726,1.7891556744792253e-06,0.005000328148989818,25.0,80.0,5.70032786230211,33.766,5043.0,5066.0,2.5292237886304503,5059.632
1,1,4,1,219,0,0.0,0,102586.0,102586.0,0.0,102586.0,88.528,88.528,0.0,88.528,102586.0,102586.0,0.0,102586.0,88.528,88.528,0.0,88.528,0.0050000000001091,0.0137867150001512,0.0002778580394903858,0.005009115447005068,30.0,79.0,4.767648736481588,36.484,5045.0,5066.0,2.350533771084564,5058.746
1,1,4,0,219,0,0.0,0,102586.0,102586.0,0.0,102586.0,41.144,83.928,13.790102907865618,73.49973333333334,102586.0,102586.0,0.0,102586.0,41.144,83.928,13.790102907865618,73.49973333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,1,219,0,0.0,0,102586.0,102586.0,0.0,102586.0,60.664,88.528,2.5802428367585626,88.17745161290323,102586.0,102586.0,0.0,102586.0,60.664,88.528,2.5802428367585626,88.17745161290323,0.0,0.0050600010004018,0.0007996801469819192,0.0048694117822754195,0.0,80.0,8.812353356770702,33.247983870967744,0.0,5065.0,809.1818115442798,4927.280241935484
1,1,4,1,219,0,0.0,2,2097337.0,2097337.0,0.0,2097337.0,1472.072,3140.84,690.1865324399165,2370.5895384615387,2097337.0,2097337.0,0.0,2097337.0,1472.072,3140.84,690.1865324399165,2370.5895384615387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3443.728,4054.32,29.5668988867492,3842.3522857142852,2097337.0,2097337.0,0.0,2097337.0,3443.728,4054.32,29.5668988867492,3842.3522857142852,0.0,0.0050487229996178,0.0008744955101568508,0.004842878174378989,0.0,243.0,56.1861023973853,128.8886554621849,0.0,5067.0,880.5487984381007,4875.403361344538
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000009996438,0.0050501489999987,2.1196278298582418e-06,0.005000377644999343,38.0,240.0,50.77373068553979,129.162,4995.0,5067.0,18.638834651263867,5034.693
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000009996438,0.0135966670000016,0.00027184609572814244,0.005008963000003814,41.0,230.0,48.0420754757329,77.595,4997.0,5071.0,14.703706436915263,5048.096
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000009996438,0.0050214080001751,6.87657808526303e-07,0.005000303140000551,41.0,136.0,7.954448330855392,49.255,5028.0,5065.0,3.1731782269611086,5055.253
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000010000985,0.0050784629997906,3.1934265680363564e-06,0.00500042978800407,41.0,119.0,8.181608259609702,49.515,5022.0,5067.0,3.7583135740542533,5055.198
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000009996438,0.005056926999714,2.537272445566626e-06,0.0050004176099891565,41.0,111.0,8.03496762312734,51.184,5033.0,5065.0,3.1971231750746063,5054.725
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000019996332,0.0050368720003461,1.2751928128649094e-06,0.005000345895004511,34.0,117.0,8.846362480089153,49.877,5032.0,5063.0,3.012470577279893,5055.436
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000019996332,0.0050539100002424,2.3762627491426974e-06,0.005000410283004342,41.0,123.0,8.173714309027787,49.198,5032.0,5063.0,3.131166588382829,5055.76
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000019996332,0.0050605020001057,2.0427515364500173e-06,0.00500036372199561,41.0,108.0,7.1193390837204085,49.236,5033.0,5063.0,3.181577979311607,5055.678
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000019996332,0.0050310759997955,1.325523138242434e-06,0.005000330905001603,41.0,120.0,8.272401805499518,49.151,5031.0,5061.0,3.0813949754935286,5055.65
1,1,4,1,219,0,0.0,7,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,2097337.0,2097337.0,0.0,2097337.0,3841.064,3841.064,0.0,3841.064,0.0050000029996226,0.0050379289996271,1.2015944293579596e-06,0.00500032532099335,41.0,115.0,7.806972513069313,49.373,5027.0,5062.0,2.9089651214955716,5055.628
